name,address,latitude,longitude,rating,user_ratings_total,type,state
Mimi's Kabob - Clarksville,"12345 Wake Forest Rd, Clarksville",39.2044444,-76.9425,4.4,645,Afghan,MD
Flame Kabob,"13037 U.S. 50 Service Rd, Fairfax",38.8795414,-77.3966879,4.3,219,Afghan,VA
Kabul Kabob House,"9975 Sowder Village Square, Manassas",38.7384294,-77.5342442,4.2,307,Afghan,VA
Shahi Kabob,"2896 Dale Blvd, Woodbridge",38.6280742,-77.2998357,3.7,1068,Desi,VA
Family Kabob House,"3205 Columbia Pike, Arlington",38.8620329,-77.090154,4.6,109,Middle Eastern,VA
Yummy Kabob & Hookah Lounge,"3340 Gallows Rd, Annandale",38.854039,-77.2215942,3.9,961,Persian,VA
Tandori Kabab N Grill,"8767 Philadelphia Rd ste-b, Rosedale",39.3396354,-76.484607,4,329,Desi,MD
Kensington Pizza & Kabob House,"3701 University Blvd W, Kensington",39.0337802,-77.0731486,3.8,259,Persian,MD
Z Kabob,"3531 S Jefferson St, Falls Church",38.8475709,-77.1174919,3.4,206,Desi,VA
Kabab Hut,"6502 Baltimore National Pike #3905, Catonsville",39.286466,-76.761217,3.9,859,Desi,MD
Urfa Tomato Kabob,"467 Florida Ave NW, Washington",38.914819,-77.0180668,3.9,52,Mediterranean,DC
Afghan Grill Kabob,"13338 Minnieville Rd, Woodbridge",38.659318,-77.3016136,3.4,350,Afghan,VA
Maurya Kebabs & Curries,"11444 Cherry Hill Rd #48, Beltsville",39.0443457,-76.9523239,4.2,291,Desi,MD
Moby Dick House of Kabob,"7023 Wisconsin Ave, Bethesda",38.979812,-77.091664,4.2,469,Persian,MD
Moby Dick House of Kabob,"12844 Pinnacle Dr, Germantown",39.1818306,-77.2651583,4.3,426,Persian,MD
Grill Kabob Restaurant,"7101 Democracy Blvd, Bethesda",39.0248438,-77.1467381,3.8,143,Afghan,MD
Kabab Villa,"5808 Johnnycake Rd unit A, Gwynn Oak",39.2926808,-76.7302904,4.5,453,Mediterranean,MD
Grill Kabob,"11160 Veirs Mill Rd, Wheaton",39.0372211,-77.0539826,4.3,101,Afghan,MD
kabob grill,"24560 Dulles Landing Dr #100, Dulles",38.9379046,-77.5217203,4.1,177,Desi,VA
Kabob N Karahi,"15521 New Hampshire Ave, Silver Spring",39.1105636,-76.9953496,4,1283,Desi,MD
Grill Kabob Express,"11213 Lee Hwy j, Fairfax",38.8503301,-77.3341479,3.9,356,Afghan,VA
Food Corner Kabob House,"8315 Leesburg Pike B, Vienna",38.91938,-77.2355603,4.1,423,Afghan,VA
Ravi Kabob House,"305 N Glebe Rd, Arlington",38.874223,-77.1051129,4,1700,Desi,VA
KABAB 2 GO,"8200 Dixon Ave, Silver Spring",38.9918722,-77.0283356,4.5,15,Mediterranean,MD
Rawal Kabob,"14513 Lee Jackson Memorial Hwy F, Chantilly",38.900578,-77.450021,4.3,278,Desi,VA
Royal Kabab,"738 MD-3 N, Gambrills",39.0505236,-76.6618168,4.2,382,Desi,MD
The Kabob Joint,"5110 Roanoke Pl #102, College Park",38.9946939,-76.9225248,5,27,Desi,MD
Prince Kabob,"2510 Conway Rd #101, Gambrills",39.0211496,-76.6980628,4.3,284,Desi,MD
